"년월","시군구","인원"
"2023-05","경남 함양군","75"
"2023-05","경남 합천군","61"
"2023-05","경북 경산시","739"
"2023-05","경북 경주시","992"
"2023-05","경북 고령군","60"
"2023-05","경북 구미시","577"
"2023-05","경북 김천시","294"
"2023-05","경북 문경시","225"
"2023-05","경북 봉화군","42"
"2023-05","경북 상주시","357"
"2023-05","경북 성주군","76"
"2023-05","경북 안동시","512"
"2023-05","경북 영덕군","106"
"2023-05","경북 영주시","270"
"2023-05","경북 영천시","258"
"2023-05","경북 예천군","59"
"2023-05","경북 울릉군","3"
"2023-05","경북 울진군","76"
"2023-05","경북 의성군","148"
"2023-05","경북 청도군","98"
"2023-05","경북 칠곡군","60"
"2023-05","경북 포항시","1343"
"2023-05","광주시 광산구","21"
"2023-05","광주시 남구","65"
"2023-05","광주시 동구","33"
"2023-05","광주시 북구","16"
"2023-05","광주시 서구","43"
"2023-05","대구시 군위군","51"
"2023-05","대구시 남구","22"
"2023-05","대구시 달서구","25"
"2023-05","대구시 달성군","15"
"2023-05","대구시 동구","305"
"2023-05","대구시 북구","157"
"2023-05","대구시 서구","37"
"2023-05","대구시 수성구","27"
"2023-05","대구시 중구","4"
"2023-05","대전시 대덕구","11"
"2023-05","대전시 동구","78"
"2023-05","대전시 서구","106"
"2023-05","대전시 유성구","30"
"2023-05","대전시 중구","37"
"2023-05","부산시 금정구","1096"
"2023-05","부산시 기장군","381"
"2023-05","부산시 남구","569"
"2023-05","부산시 동구","36"
"2023-05","부산시 동래구","437"
"2023-05","부산시 부산진구","92"
"2023-05","부산시 북구","535"
"2023-05","부산시 사하구","416"
"2023-05","부산시 서구","32"
"2023-05","부산시 수영구","312"
"2023-05","부산시 연제구","55"
"2023-05","부산시 영도구","280"
"2023-05","부산시 중구","1"
"2023-05","부산시 진구","138"
"2023-05","부산시 해운대구","225"
"2023-05","서울시 강남구","456"
"2023-05","서울시 강동구","158"
"2023-05","서울시 강북구","424"
"2023-05","서울시 강서구","395"
"2023-05","서울시 관악구","513"
"2023-05","서울시 광진구","141"
"2023-05","서울시 구로구","309"
"2023-05","서울시 금천구","142"
"2023-05","서울시 노원구","963"
"2023-05","서울시 도봉구","574"
"2023-05","서울시 동대문구","384"
"2023-05","서울시 동작구","327"
"2023-05","서울시 마포구","196"
"2023-05","서울시 서대문구","166"
"2023-05","서울시 서초구","104"
"2023-05","서울시 성동구","290"
"2023-05","서울시 성북구","491"
"2023-05","서울시 송파구","94"
"2023-05","서울시 양천구","484"
"2023-05","서울시 영등포구","1053"
